index,nitrate,months
1,1.581,January
2,1.323,February
3,1.14,March
4,1.245,April
5,1.072,May
6,1.483,June
7,1.162,July
8,1.304,August
9,1.14,September
10,1.118,October
11,1.342,November
12,1.245,December
13,1.204,January
14,1.14,February
15,1.204,March
16,1.118,April
17,1.025,May
18,1.118,June
19,1.285,July
20,1.14,August
21,0.949,September
22,0.922,October
23,0.949,November
24,1.118,December
25,1.265,January
26,1.095,February
27,1.183,March
28,1.162,April
29,1.118,May
30,1.285,June
31,1.049,July
32,0.922,August
33,0.775,September
34,0.866,October
35,0.922,November
36,1.643,December
37,1.323,January
38,1.285,February
39,1.095,March
40,1.049,April
41,1.095,May
42,0.922,June
43,0.866,July
44,1.049,August
45,0.922,September
46,1.095,October
47,1.183,November
48,1.304,December
49,1.162,January
50,1.225,February
51,1.285,March
52,1.072,April
53,1.533,May
54,1.095,June
55,1.396,July
56,1.025,August
57,0.922,September
58,0.949,October
59,1.118,November
60,1.342,December
61,1.36,January
62,1.36,February
63,1.204,March
64,1.265,April
65,1,May
66,1.183,June
67,1.025,July
68,0.866,August
69,1.072,September
70,1.049,October
71,1.049,November
72,1.049,December
73,1.095,January
74,1.183,February
75,1.095,March
76,0.975,April
77,1.118,May
78,0.975,June
79,1.049,July
80,0.837,August
81,0.922,September
82,1.118,October
83,1.072,November
84,1.204,December
85,0.975,January
86,1.095,February
87,1.049,March
88,0.866,April
89,0.922,May
90,1.049,June
91,1.127,July
92,1.072,August
93,0.975,September
94,1.049,October
95,1.183,November
96,1.245,December
97,1.225,January
98,1.225,February
99,1.265,March
100,1.118,April
101,1.14,May
102,1.072,June
103,1.095,July
104,0.671,August
105,1.183,September
106,0.949,October
107,1.162,November
108,1.095,December
109,1.323,January
110,1.342,February
111,1.277,March
112,1.015,April
113,1,May
114,0.922,June
115,0.894,July
116,1,August
117,1.049,September
118,0.922,October
119,1.517,November
120,1.265,December
121,1.414,January
122,1.304,February
123,1.14,March
124,1.14,April
125,1.049,May
126,1.068,June
127,0.906,July
128,1.095,August
129,0.883,September
130,1.14,October
131,1.025,November
132,1.36,December
133,1.183,January
134,1.265,February
135,1.304,March
136,0.964,April
137,0.975,May
138,0.99,June
139,0.877,July
140,1.049,August
141,0.975,September
142,1,October
143,1.183,November
144,1.225,December
145,1.265,January
146,1.183,February
147,1.049,March
148,0.97,April
149,0.894,May
150,0.98,June
151,0.964,July
152,0.894,August
153,0.922,September
154,1.14,October
155,1.183,November
156,1.897,December
157,1.095,January
158,1.14,February
159,1.414,March
160,1.14,April
161,1,May
162,1.049,June
163,0.889,July
164,0.872,August
165,1,September
166,1.095,October
167,0.671,November
168,1.095,December
169,1.14,January
170,1.304,February
171,1.025,March
172,0.975,April
173,1,May
174,0.877,June
175,0.949,July
176,0.866,August
177,1.058,September
178,1.086,October
179,1.118,November
180,1.162,December
181,1.221,January
182,1.265,February
183,1.122,March
184,1.015,April
185,1.162,May
186,0.825,June
187,0.906,July
188,0.849,August
189,0.985,September
190,1.118,October
191,1.077,November
192,1.237,December
193,1.237,January
194,1.063,February
195,1.01,March
196,0.933,April
197,0.922,May
198,0.806,June
199,0.748,July
200,0.592,August
201,0.911,September
202,0.806,October
203,0.98,November
204,1.077,December
205,1.212,January
206,1.277,February
207,0.954,March
208,0.837,April
209,0.917,May
210,0.9,June
211,1.068,July
212,0.872,August
213,0.99,September
214,1.131,October
215,1.068,November
216,1.208,December
217,1.319,January
218,1.281,February
219,0.905,March
220,0.819,April
221,0.826,May
222,0.974,June
223,0.888,July
224,0.804,August
225,0.996,September
226,1.127,October
227,1.17,November
228,1.166,December
229,1.261,January
230,1.275,February
231,1.179,March
232,1.079,April
233,0.951,May
234,0.852,June
235,0.872,July
236,0.834,August
237,0.859,September
238,1.077,October
239,1.095,November
240,1.285,December
241,1.323,January
242,1.16,February
243,1.125,March
244,0.957,April
245,0.948,May
246,0.907,June
247,0.89,July
248,0.999,August
249,0.999,September
250,0.953,October
251,0.9,November
252,0.986,December
253,1.187,January
254,1.054,February
255,1.079,March
256,0.997,April
257,0.851,May
258,0.803,June
259,0.971,July
260,1.025,August
261,1.086,September
262,1.114,October
263,1.068,November
264,1.091,December
265,1.034,January
266,0.871,February
267,0.781,March
268,0.865,April
269,0.7,May
270,0.673,June
271,0.881,July
272,0.782,August
273,0.97,September
274,1.044,October
275,1.17,November
276,1.196,December
277,1.091,January
278,1.068,February
279,0.967,March
280,0.823,April
281,0.73,May
282,0.693,June
283,0.788,July
284,1.095,August
285,1.183,September
286,0.996,October
287,1.105,November
288,0.939,December
289,0.914,January
290,0.813,February
291,0.775,March
